int64_field_0,url,title,time_published,sentiment_score,sentiment_label,source,ticker_sentiment_score,ticker_sentiment_label
348,https://decrypt.co/305513/sec-opens-public-comment-on-four-solana-etfs,SEC Opens Public Comment on Four Solana ETFs in Next Step Toward Possible Approval,2025-02-12 00:58:02 UTC,0.250171,Somewhat-Bullish,Decrypt.co,0.395666,Bullish
470,https://decrypt.co/305513/sec-opens-public-comment-on-four-solana-etfs,SEC Opens Public Comment on Four Solana ETFs in Next Step Toward Possible Approval,2025-02-12 00:58:02 UTC,0.250171,Somewhat-Bullish,Decrypt.co,0.395666,Bullish
405,https://www.benzinga.com/24/11/42206614/polygons-pol-token-outshines-bitcoin-ethereum-in-30-day-gains-top-analyst-anticipates-no-major-selling-pressure-i,Crypto's Next Mega-Rocket? Analyst Forecasts Insane 2725%-6600% Surge For This Coin - Grayscale Bitcoin Mini Trust  ( BTC )  Common units of fractional undivided beneficial interest  ( ARCA:BTC ) ,2024-11-27 05:12:52 UTC,0.290347,Somewhat-Bullish,Benzinga,0.524163,Bullish
279,https://www.benzinga.com/25/01/43257114/donald-and-melania-trump-memecoins-defy-market-lull-with-rallyanalyst-says-trump-bottomed-out-at-25,"Donald and Melania Trump Memecoins Outgain Bitcoin, Ethereum Amid Market Lull - Analyst Says TRUMP Bottomed Out At $25 - Emeren Group  ( NYSE:SOL ) ",2025-01-28 04:26:42 UTC,0.190622,Somewhat-Bullish,Benzinga,0.453573,Bullish
275,https://www.benzinga.com/25/01/43293760/shiba-inus-shytoshi-kusama-teases-extremely-powerful-partnership-for-ecosystemcoin-themed-on-mysterious-personali,Shiba Inu's Shytoshi Kusama Teases 'Extremely Powerful Partnership' - Coin Themed On Him Rallies 25%,2025-01-29 02:47:09 UTC,0.336071,Somewhat-Bullish,Benzinga,0.502903,Bullish
480,https://www.benzinga.com/25/02/43583729/bitcoin-dogecoin-made-amends-last-week-but-litecoin-grabbed-spotlight-with-25-gains,"Bitcoin, Ethereum, Dogecoin Gains Paled Last Week As Spotlight Shone Bright On Litecoin Amid 25% Rally - Here's What Happened",2025-02-10 05:34:26 UTC,0.35081,Bullish,Benzinga,0.367576,Bullish
165,https://www.benzinga.com/25/02/43586084/trump-shib-doge-or-xrp-whats-your-best-bet-in-a-new-trading-week-heres-what-the-indicators-tell-us,"TRUMP, SHIB, DOGE or XRP - What's Your Best Bet In A New Trading Week? Here's What The Indicators Tell Us",2025-02-10 08:53:09 UTC,0.162354,Somewhat-Bullish,Benzinga,0.361553,Bullish
325,https://www.benzinga.com/25/02/43755252/bitcoin-altcoin-set-to-rise-with-irrational-valuations-according-to-crypto-analyst-but-a-big-crisis-looms-afterwa,"Bitcoin, Altcoin Set To Rise With 'Irrational Valuations,' According To Crypto Analyst, But A 'Big' Crisis Looms Afterwards - Grayscale Bitcoin Mini Trust  ( BTC )  Common units of fractional undivided beneficial interest  ( ARCA:BTC ) ",2025-02-15 09:56:06 UTC,0.2324,Somewhat-Bullish,Benzinga,0.369912,Bullish
321,https://www.benzinga.com/25/02/43762376/bitcoin-stagnated-dogecoin-gained-but-this-dex-token-rallied-62-to-headline-last-weeks-crypto-market,"Bitcoin Was Muted, Dogecoin Spiked, But The Icing On The 'Cake' Last Week Was A 62% Rally In This Token - Grayscale Bitcoin Mini Trust  ( BTC )  Common units of fractional undivided beneficial interest  ( ARCA:BTC ) ",2025-02-17 06:18:02 UTC,0.362073,Bullish,Benzinga,0.632977,Bullish
9,https://www.benzinga.com/insights/options/25/02/43861225/riot-platformss-options-frenzy-what-you-need-to-know,Riot Platforms's Options Frenzy: What You Need to Know - Riot Platforms  ( NASDAQ:RIOT ) ,2025-02-20 19:00:36 UTC,0.199202,Somewhat-Bullish,Benzinga,0.413097,Bullish
380,https://www.benzinga.com/markets/cryptocurrency/23/06/33057245/exclusive-vodafone-ventures-strikes-strategic-alliance-with-aventus-for-public-blockchain-,EXCLUSIVE: Vodafone Strikes Strategic Alliance With Aventus For Public Blockchain Transition - Vodafone Group  ( NASDAQ:VOD ) ,2023-06-29 12:25:15 UTC,0.199649,Somewhat-Bullish,Benzinga,0.369385,Bullish
623,https://www.benzinga.com/markets/cryptocurrency/23/09/34536808/bitcoin-tops-26-000-toncoin-emerges-as-top-gainer,"Bitcoin Tops $26,000; Toncoin Emerges As Top Gainer",2023-09-13 13:33:49 UTC,0.108587,Neutral,Benzinga,0.48987,Bullish
834,https://www.benzinga.com/markets/cryptocurrency/23/09/34536808/bitcoin-tops-26-000-toncoin-emerges-as-top-gainer,"Bitcoin Tops $26,000; Toncoin Emerges As Top Gainer",2023-09-13 13:33:49 UTC,0.108587,Neutral,Benzinga,0.48987,Bullish
712,https://www.benzinga.com/markets/cryptocurrency/23/09/34690728/bitcoin-tops-27-000-chainlink-emerges-as-top-gainer,"Bitcoin Tops $27,000; Chainlink Emerges As Top Gainer",2023-09-18 13:35:35 UTC,0.099047,Neutral,Benzinga,0.369144,Bullish
619,https://www.benzinga.com/markets/cryptocurrency/23/10/35506439/tokenized-us-treasury-market-skyrockets-by-nearly-600-amid-global-spike-in-interest-rates,Tokenized US Treasury Market Skyrockets By Nearly 600% Amid Global Spike In Interest Rates - Emeren Group  ( NYSE:SOL ) ,2023-10-31 06:56:03 UTC,0.336515,Somewhat-Bullish,Benzinga,0.397111,Bullish
704,https://www.benzinga.com/markets/cryptocurrency/23/11/36031068/usdc-transcends-borders-cross-chain-transfer-protocol-unleashes-a-borderless-blockchain-er,USDC Transcends Borders: Cross-Chain Transfer Protocol Unleashes A Borderless Blockchain Era,2023-11-30 22:45:35 UTC,0.353931,Bullish,Benzinga,0.377411,Bullish
702,https://www.benzinga.com/markets/cryptocurrency/23/12/36220708/atom-bonk-sui-crypto-experts-bullish-forecasts-set-the-stage-for-these-targets,"ATOM, BONK, SUI: Crypto Experts' Bullish Forecasts Set The Stage For These Targets",2023-12-13 19:40:08 UTC,0.176523,Somewhat-Bullish,Benzinga,0.436961,Bullish
438,https://www.benzinga.com/markets/cryptocurrency/24/08/40305205/kamala-harris-edges-out-donald-trump-in-crypto-betting-odds-for-the-first-time-wagers-rise,"Kamala Harris Edges Out Donald Trump In Crypto Betting Odds For The First Time, Wagers Rise From 6% To 52% In Less Than A Month - Grayscale Ethereum Mini Trust  ( ETH )  Common units of fractional undivided beneficial interest  ( ARCA:ETH ) ",2024-08-12 03:10:04 UTC,0.301826,Somewhat-Bullish,Benzinga,0.603245,Bullish
437,https://www.benzinga.com/markets/cryptocurrency/24/08/40445918/how-much-has-donald-trump-made-from-nft-sales-its-more-than-you-might-think,How Much Has Donald Trump Made From NFT Sales? It's More Than You Might Think,2024-08-19 17:29:11 UTC,0.361786,Bullish,Benzinga,0.415086,Bullish
356,https://www.benzinga.com/markets/cryptocurrency/24/11/41723555/michigan-pension-fund-invests-10m-in-ethereum-etfs-exceeds-bitcoin-holdings,"Michigan Pension Fund Invests $10M In Ethereum ETFs, Exceeds Bitcoin Holdings",2024-11-04 18:39:20 UTC,0.329756,Somewhat-Bullish,Benzinga,0.460619,Bullish
353,https://www.benzinga.com/markets/cryptocurrency/24/11/42163156/why-bitcoins-rally-is-stalling-below-100000,"Why Bitcoin's Rally Is Stalling Below $100,000",2024-11-25 13:46:02 UTC,0.253981,Somewhat-Bullish,Benzinga,0.362776,Bullish
603,https://www.benzinga.com/markets/cryptocurrency/24/11/42163156/why-bitcoins-rally-is-stalling-below-100000,"Why Bitcoin's Rally Is Stalling Below $100,000",2024-11-25 13:46:02 UTC,0.253981,Somewhat-Bullish,Benzinga,0.362776,Bullish
146,https://www.benzinga.com/markets/cryptocurrency/24/12/42404869/can-solana-and-toncoin-print-fresh-all-time-highs-just-like-bitcoins-recent-100k-move-here,Can Solana And Toncoin Print Fresh All-Time Highs Just Like Bitcoin's Recent $100K Move? Here's What This Analyst Says - Emeren Group  ( NYSE:SOL ) ,2024-12-10 03:50:47 UTC,0.197375,Somewhat-Bullish,Benzinga,0.361196,Bullish
143,https://www.benzinga.com/markets/cryptocurrency/24/12/42467668/hyperliquid-the-coolest-new-crypto-product-up-500-in-2-weeks-imagine-ethereum-solana-binan,"Hyperliquid, The 'Coolest New Crypto Product,' Up 500% In 2 Weeks: 'Imagine Ethereum, Solana, Binance Had A Baby,' Lauds Trader",2024-12-12 17:37:15 UTC,0.26724,Somewhat-Bullish,Benzinga,0.399063,Bullish
585,https://www.benzinga.com/markets/cryptocurrency/24/12/42735623/trump-backed-platforms-pick-years-chart-topper-6-new-cryptos-added-to-grayscales-top-20-li,"Trump-Backed Platform's Pick, Year's Chart Topper: 6 New Cryptos Added To Grayscale's 'Top 20' List With Growth Potential In Q1 2025",2024-12-31 03:03:45 UTC,0.358703,Bullish,Benzinga,0.499983,Bullish
671,https://www.benzinga.com/markets/cryptocurrency/24/12/42735623/trump-backed-platforms-pick-years-chart-topper-6-new-cryptos-added-to-grayscales-top-20-li,"Trump-Backed Platform's Pick, Year's Chart Topper: 6 New Cryptos Added To Grayscale's 'Top 20' List With Growth Potential In Q1 2025",2024-12-31 03:03:45 UTC,0.358703,Bullish,Benzinga,0.499983,Bullish
130,https://www.benzinga.com/markets/cryptocurrency/25/01/42892791/bhutans-special-administrative-region-announces-strategic-reserve-consisting-of-bitcoin-et,"Bhutan's Special Administrative Region Announces Strategic Reserve Consisting Of Bitcoin, Ethereum, BNB Coin: Bhutan Is Open To Other Cryptos, Says Changpeng 'CZ' Zhao - Grayscale Bitcoin Mini Trust  ( BTC )  Common units of fractional undivided beneficial interest  ( ARCA:BTC ) ",2025-01-09 09:49:26 UTC,0.249552,Somewhat-Bullish,Benzinga,0.569866,Bullish
282,https://www.benzinga.com/markets/cryptocurrency/25/01/43241312/bitcoin-ethereum-dogecoin-to-thrive-in-q1-prominent-trader-says,"Bitcoin, Ethereum, Dogecoin To Thrive In Q1, Prominent Trader Says",2025-01-27 16:53:40 UTC,0.337083,Somewhat-Bullish,Benzinga,0.553658,Bullish
496,https://www.benzinga.com/markets/cryptocurrency/25/01/43351797/grayscale-seeks-sec-approval-to-convert-xrp-trust-into-exchange-traded-fund,Grayscale Seeks SEC Approval To Convert XRP Trust Into Exchange-Traded Fund,2025-01-30 20:40:56 UTC,0.343989,Somewhat-Bullish,Benzinga,0.559152,Bullish
263,https://www.benzinga.com/markets/cryptocurrency/25/02/43613058/cathie-wood-says-doge-lead-elon-musks-plan-of-putting-the-treasury-on-blockchain-a-win-win,"Cathie Wood Says DOGE-Lead Elon Musk's Plan Of Putting The Treasury On Blockchain A 'Win, Win, Win' - 'Transparency, Efficiency, Security' - Grayscale Bitcoin Mini Trust  ( BTC )  Common units of fractional undivided beneficial interest  ( ARCA:BTC ) ",2025-02-11 01:37:45 UTC,0.358035,Bullish,Benzinga,0.351095,Bullish
162,https://www.benzinga.com/markets/cryptocurrency/25/02/43619144/ethereum-has-a-key-strength-that-xrp-solana-dont-have-expert-says,"Ethereum Has A Key Strength That XRP, Solana Don't Have, Expert Says",2025-02-11 12:06:45 UTC,0.316939,Somewhat-Bullish,Benzinga,0.601625,Bullish
261,https://www.benzinga.com/markets/cryptocurrency/25/02/43619144/ethereum-has-a-key-strength-that-xrp-solana-dont-have-expert-says,"Ethereum Has A Key Strength That XRP, Solana Don't Have, Expert Says",2025-02-11 12:06:45 UTC,0.316939,Somewhat-Bullish,Benzinga,0.601625,Bullish
39,https://www.benzinga.com/markets/cryptocurrency/25/02/43827841/bitcoin-ethereum-xrp-dogecoin-rebound-92000-key-downside-support-until-97000-98500-is-recl,"Bitcoin, Ethereum, XRP, Dogecoin Rebound: $92,000 Key Downside Support Until $97,000-$98,500 Is Reclaimed, Analysts Say",2025-02-19 20:04:22 UTC,0.130353,Neutral,Benzinga,0.477686,Bullish
536,https://www.benzinga.com/news/24/10/41321003/why-bitcoin-cash-is-exploding-higher,Why Bitcoin Cash Is Exploding Higher,2024-10-14 20:52:57 UTC,0.314178,Somewhat-Bullish,Benzinga,0.555632,Bullish
530,https://www.benzinga.com/news/24/10/41607166/why-bitcoin-cash-is-up-11-this-week,Why Bitcoin Cash Is Up 11% This Week,2024-10-29 17:36:17 UTC,0.450518,Bullish,Benzinga,0.714217,Bullish
522,https://www.benzinga.com/news/24/11/41882405/why-bitcoin-cash-is-popping-off-3,Why Bitcoin Cash Is Popping Off,2024-11-11 15:57:21 UTC,0.462973,Bullish,Benzinga,0.674548,Bullish
520,https://www.benzinga.com/news/24/11/42116978/why-bitcoin-cash-is-up-15-this-week,Why Bitcoin Cash Is Up 15% This Week,2024-11-21 16:15:34 UTC,0.476259,Bullish,Benzinga,0.648177,Bullish
518,https://www.benzinga.com/news/24/11/42168522/why-bitcoin-cash-is-up-40-over-the-past-month,Why Bitcoin Cash Is Up 40% Over The Past Month,2024-11-25 16:25:40 UTC,0.360089,Bullish,Benzinga,0.576187,Bullish
513,https://www.benzinga.com/news/24/12/42348260/bitcoin-sv-is-up-80-over-the-past-month-whats-going-on,Bitcoin SV Is Up 80% Over The Past Month: What's Going On?,2024-12-05 18:42:13 UTC,0.303409,Somewhat-Bullish,Benzinga,0.453537,Bullish
76,https://www.benzinga.com/partner/cryptocurrency/25/02/43811045/btcs-figment-and-wonderfi-to-kick-off-pilot-program-for-new-staker-protection-plan-in-marc,"BTCS, Figment And WonderFi To Kick Off Pilot Program For New Staker Protection Plan In March - WonderFi Techs  ( OTC:WONDF ) , BTCS  ( NASDAQ:BTCS ) ",2025-02-19 13:23:15 UTC,0.311909,Somewhat-Bullish,Benzinga,0.467682,Bullish
875,https://www.benzinga.com/pressreleases/24/08/g40305310/okx-wallet-now-integrated-with-glif,OKX Wallet Now Integrated with GLIF,2024-08-12 03:54:00 UTC,0.387518,Bullish,Benzinga,0.468242,Bullish
547,https://www.benzinga.com/pressreleases/24/09/g40980440/mashash-launches-an-efficient-ethereum-mining-plan-helping-you-earn-2-000-daily,"MASHASH Launches an Efficient Ethereum Mining Plan, Helping You Earn $2,000 Daily",2024-09-23 13:00:00 UTC,0.574055,Bullish,Benzinga,0.356824,Bullish
899,https://www.benzinga.com/pressreleases/24/10/g41457897/decentraland-launches-revamped-virtual-world-with-enhanced-performance-engaging-features-and-futur,"Decentraland Launches Revamped Virtual World with Enhanced Performance, Engaging Features, and Future-Ready Architecture",2024-10-22 15:04:32 UTC,0.408177,Bullish,Benzinga,0.618321,Bullish
521,https://www.benzinga.com/pressreleases/24/11/g41939499/stakingbonus-poised-to-help-investors-capitalize-as-bitcoin-surges-to-record-high-of-nearly-80-000,"StakingBonus Poised to Help Investors Capitalize as Bitcoin Surges to Record High of Nearly $80,000 Amid Pro-Crypto Sentiment from President-Elect Trump",2024-11-13 14:00:00 UTC,0.484126,Bullish,Benzinga,0.593119,Bullish
505,https://www.benzinga.com/pressreleases/25/01/b43312375/old-glory-bank-announces-digital-assets-can-now-be-used-to-purchase-mini-ipo-shares,Old Glory Bank Announces Digital Assets can now be used to purchase Mini-IPO Shares,2025-01-29 17:19:00 UTC,0.360405,Bullish,Benzinga,0.646647,Bullish
119,https://www.benzinga.com/pressreleases/25/01/g43082832/gate-ventures-pledges-20m-to-support-the-bnb-incubation-alliance,Gate Ventures Pledges $20M to Support the BNB Incubation Alliance,2025-01-20 14:06:07 UTC,0.4107,Bullish,Benzinga,0.55323,Bullish
113,https://www.benzinga.com/pressreleases/25/01/g43296555/the-new-force-in-platform-tokens-how-wxt-succeeds-like-bnb,The New Force in Platform Tokens: How WXT Succeeds Like BNB?,2025-01-29 10:30:05 UTC,0.445595,Bullish,Benzinga,0.36547,Bullish
199,https://www.benzinga.com/pressreleases/25/01/g43339855/bexback-launches-double-deposit-bonus-50-welcome-bonus-and-100x-leverage-crypto-trading-no-kyc,"BexBack Launches Double Deposit Bonus, $50 Welcome Bonus and 100x Leverage Crypto Trading No KYC",2025-01-30 15:00:50 UTC,0.511465,Bullish,Benzinga,0.655626,Bullish
195,https://www.benzinga.com/pressreleases/25/01/g43392751/bexback-introduces-double-deposit-bonus-50-welcome-bonus-and-100x-leverage-for-crypto-traders-no-k,"BexBack Introduces Double Deposit Bonus, $50 Welcome Bonus, and 100x Leverage for Crypto Traders-No KYC Needed",2025-01-31 15:00:00 UTC,0.558423,Bullish,Benzinga,0.509641,Bullish
191,https://www.benzinga.com/pressreleases/25/02/g43419952/bexback-launches-double-deposit-bonus-50-welcome-bonus-and-100x-leverage-crypto-trading-no-kyc,"BexBack Launches Double Deposit Bonus, $50 Welcome Bonus and 100x Leverage Crypto Trading No KYC",2025-02-01 15:00:04 UTC,0.511465,Bullish,Benzinga,0.655626,Bullish
489,https://www.benzinga.com/pressreleases/25/02/g43431075/ddb-miner-expands-cloud-mining-solutions-offering-users-a-path-to-financial-freedom,"DDB Miner Expands Cloud Mining Solutions, Offering Users a Path to Financial Freedom",2025-02-03 12:36:26 UTC,0.544187,Bullish,Benzinga,0.437943,Bullish
504,https://www.benzinga.com/pressreleases/25/02/g43431075/ddb-miner-expands-cloud-mining-solutions-offering-users-a-path-to-financial-freedom,"DDB Miner Expands Cloud Mining Solutions, Offering Users a Path to Financial Freedom",2025-02-03 12:36:26 UTC,0.544187,Bullish,Benzinga,0.437943,Bullish
186,https://www.benzinga.com/pressreleases/25/02/g43441973/bexback-unveils-100x-leverage-crypto-trading-with-double-deposit-bonus-50-welcome-offer-no-kyc-nee,BexBack Unveils 100x Leverage Crypto Trading with Double Deposit Bonus & $50 Welcome Offer-No KYC Needed,2025-02-03 17:14:56 UTC,0.504506,Bullish,Benzinga,0.637684,Bullish
177,https://www.benzinga.com/pressreleases/25/02/g43496810/double-your-deposit-and-get-50-bonus-with-100x-leverage-crypto-trading-at-bexback-no-kyc,Double Your Deposit and Get $50 Bonus with 100x Leverage Crypto Trading at BexBack - No KYC!,2025-02-05 15:00:00 UTC,0.508543,Bullish,Benzinga,0.643154,Bullish
175,https://www.benzinga.com/pressreleases/25/02/g43511495/blocscale-xrps-first-launchpad-reaches-10-000-xrp-softcap-with-limited-time-left-before-hardcap-is,"BlocScale: XRP's First Launchpad Reaches 10,000 XRP Softcap, With Limited Time Left Before Hardcap is Filled! Join $BLOC Private Sale Round",2025-02-05 21:35:33 UTC,0.35069,Bullish,Benzinga,0.545869,Bullish
171,https://www.benzinga.com/pressreleases/25/02/g43562068/bexback-offers-exclusive-50-bonus-100x-leverage-and-double-deposit-promotion-with-no-kyc,"BexBack Offers Exclusive $50 Bonus, 100x Leverage, and Double Deposit Promotion with No KYC",2025-02-07 15:00:00 UTC,0.504506,Bullish,Benzinga,0.637684,Bullish
168,https://www.benzinga.com/pressreleases/25/02/g43578399/unlock-100x-leverage-on-bexback-with-a-100-deposit-bonus-50-welcome-bonus-no-kyc,Unlock 100x Leverage on BexBack with a 100% Deposit Bonus & $50 Welcome Bonus - No KYC,2025-02-08 13:46:27 UTC,0.49998,Bullish,Benzinga,0.628063,Bullish
207,https://www.benzinga.com/pressreleases/25/02/g43723773/tap-protocol-launches-its-tap-launch-bot-the-ultimate-no-code-solution-to-launching-token-projects,"TAP Protocol Launches its TAP Launch Bot, The Ultimate No-Code Solution to Launching Token Projects on Bitcoin With No Bonding Curve",2025-02-14 10:14:29 UTC,0.33846,Somewhat-Bullish,Benzinga,0.484672,Bullish
330,https://www.benzinga.com/pressreleases/25/02/g43737722/how-to-make-10-800-a-day-using-cesur-mining,"How to Make $10,800+ a Day Using CESUR Mining",2025-02-14 17:00:00 UTC,0.533868,Bullish,Benzinga,0.519002,Bullish
465,https://www.benzinga.com/pressreleases/25/02/g43737722/how-to-make-10-800-a-day-using-cesur-mining,"How to Make $10,800+ a Day Using CESUR Mining",2025-02-14 17:00:00 UTC,0.533868,Bullish,Benzinga,0.519002,Bullish
500,https://www.benzinga.com/pressreleases/25/02/g43737722/how-to-make-10-800-a-day-using-cesur-mining,"How to Make $10,800+ a Day Using CESUR Mining",2025-02-14 17:00:00 UTC,0.533868,Bullish,Benzinga,0.519002,Bullish
19,https://www.benzinga.com/pressreleases/25/02/g43848012/bitfufu-acquires-51mw-operational-data-center-in-oklahoma-expanding-u-s-mining-footprint,"BitFuFu Acquires 51MW Operational Data Center in Oklahoma, Expanding U.S. Mining Footprint - BitFuFu  ( NASDAQ:FUFU ) ",2025-02-20 14:00:00 UTC,0.352619,Bullish,Benzinga,0.483037,Bullish
170,https://www.benzinga.com/pressreleases/25/02/r43564005/bitconemine-officially-launches-its-new-energy-cloud-mining-platform,BitconeMine Officially Launches Its New Energy Cloud Mining Platform,2025-02-07 15:34:11 UTC,0.544062,Bullish,Benzinga,0.543174,Bullish
484,https://www.benzinga.com/pressreleases/25/02/r43564005/bitconemine-officially-launches-its-new-energy-cloud-mining-platform,BitconeMine Officially Launches Its New Energy Cloud Mining Platform,2025-02-07 15:34:11 UTC,0.544062,Bullish,Benzinga,0.543174,Bullish
95,https://www.benzinga.com/trading-ideas/long-ideas/25/02/43780560/toast-cme-group-and-goldman-sachs-on-cnbcs-final-trades,"Toast, CME Group And Goldman Sachs On CNBC's 'Final Trades' - Grayscale Bitcoin Mini Trust  ( BTC )  Common units of fractional undivided beneficial interest  ( ARCA:BTC ) ",2025-02-18 13:37:25 UTC,0.379175,Bullish,Benzinga,0.586887,Bullish
